country,year,sex,list,agf,cause_new,total,d20_new,d30_new,d40_new,d50_new,d60_new,d70_new,d80_new,d90_new,d95p
GBRTENW,2008,1,interm,3,1,186666.14,4481.52,2874.05,5404.02,9339.47,20615.74,36638.25,60680.53,41871.56,4761.2
GBRTENW,2008,1,interm,3,48,313.67,1.02,4.1,4.08,7.09,31.19,75.17,122.4,62.01,6.61
GBRTENW,2008,1,interm,3,49,202.39,0,0,0,1.01,4.02,14.03,43.15,112.62,27.56
GBRTENW,2008,1,interm,3,50,1626.36,1.02,11.27,41.81,116.58,174.13,312.74,529.78,402.64,36.38
GBRTENW,2008,1,interm,3,51,16837.74,7.15,31.75,308.97,1024.85,2265.58,3659.7,5706.49,3547.74,285.52
GBRTENW,2008,1,interm,3,52,27030.8,7.17,58.38,384.54,1347.12,3179.11,5726.65,9404.63,6313.57,609.62
GBRTENW,2008,1,interm,3,53,1396.27,9.16,9.22,46.96,78.07,154.96,290.69,466.46,307.67,33.07
GBRTENW,2008,1,interm,3,54,1849.71,2.05,4.1,27.56,46.62,145.93,297.7,725.33,550.82,49.61
GBRTENW,2008,1,interm,3,55,53.17,17.27,11.26,6.13,7.09,3.03,2,0,3.08,3.31
GBRTENW,2008,1,interm,3,56,3521.18,3.09,1.03,8.16,27.37,112.68,324.75,1204.19,1574.25,265.68
GBRTENW,2008,1,interm,3,57,3516.57,78.79,82.92,186.78,273.7,406.68,520.25,915.99,907.04,144.41
GBRTENW,2009,1,interm,3,1,183808.56,4225.88,2771.42,5516.82,9202.96,20332.48,35998.73,58941.41,42100.56,4718.24
GBRTENW,2009,1,interm,3,48,331.66,2.03,4.11,5.1,19.27,29.2,73.2,121.35,73.02,4.36
GBRTENW,2009,1,interm,3,49,192.3,0,0,2.04,1.01,7.04,15.05,47.15,93.85,26.15
GBRTENW,2009,1,interm,3,50,1669.08,0,3.07,43.88,109.58,197.35,357.03,476.38,445.82,35.96
GBRTENW,2009,1,interm,3,51,15823.58,3.05,41.15,279.59,962.47,2152.65,3460.83,5271.13,3387.92,264.79
GBRTENW,2009,1,interm,3,52,25977.09,7.1,50.41,339.8,1247.39,3079.79,5397.17,8986.9,6197.27,671.24
GBRTENW,2009,1,interm,3,53,1388.91,7.12,13.35,52.04,79.14,156.06,292.85,490.41,276.16,21.79
GBRTENW,2009,1,interm,3,54,1822.2,4.07,11.28,25.51,42.6,131.88,277.76,662.97,619.27,46.86
GBRTENW,2009,1,interm,3,55,58.09,13.27,10.3,9.18,10.16,6.04,0,4.01,5.13,0
GBRTENW,2009,1,interm,3,56,3441.38,6.1,4.1,9.18,29.41,99.66,373.02,1115.47,1534.2,270.24
GBRTENW,2009,1,interm,3,57,3549.15,73.48,64.74,189.81,270.95,414.84,502.41,950.8,931.76,150.37
GBRTENW,2010,1,interm,3,1,184061.66,3915.43,2584.16,5075.33,9258.28,20153.96,36331.62,58425.93,43386.51,4930.55
GBRTENW,2010,1,interm,3,48,305.73,0,0,4.09,6.09,27.17,77.19,101.26,82.32,7.6
GBRTENW,2010,1,interm,3,49,250.83,0,1.03,1.03,3.04,6.04,15.04,52.17,136.69,35.81
GBRTENW,2010,1,interm,3,50,1724.53,0,8.18,35.87,112.56,230.4,347.89,518.48,427.77,43.4
